endTime,artistName,trackName,msPlayed
2023-03-14 22:17,MIMI,Ai no Sukima,13200
2023-03-14 22:17,Volbeat,Ecotone,13250
2023-03-14 22:17,Anri,A HOPE FROM SAD STREET,870
2023-03-14 22:17,SQUARE ENIX MUSIC,Dispossession - Strings Ver.,1250
2023-03-14 22:17,Interlunium,Intergalactic Disco,1240
2023-03-14 22:17,S. Kiyotaka & Omega Tribe,Route 134,600
2023-03-14 22:17,Syrex,Just Dance (Nightcore),6460
2023-03-14 22:17,Their Dogs Were Astronauts,Stormwater,680
2023-03-14 22:17,GALNERYUS,WINGS OF JUSTICE,2450
2023-03-14 22:17,Saraceno,Mantra,730
2023-03-14 22:17,Sugar&Co.,tape/stop/night,650
2023-03-14 22:17,Trivium,The Heart from Your Hate,1530
2023-03-14 22:17,Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")",1040
2023-03-14 22:17,Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")",9240
2023-03-14 22:17,Yusei,Tell Me Pretty Lies,800
2023-03-14 22:17,Anri,SHYNESS BOY,520
2023-03-14 22:17,Vestron Vulture,Hair On Fire,1660
2023-03-14 22:17,S. Kiyotaka & Omega Tribe,Ai No Shinkiro,1020
2023-03-14 22:17,BAND-MAID,Manners,820
2023-03-14 22:17,TOKYOPILL,End of TOKYO,12010
2023-03-14 22:17,TOKYOPILL,End of TOKYO,610
2023-03-14 22:18,Chet Baker,Autumn Leaves,1010
2023-03-14 22:18,S. Kiyotaka & Omega Tribe,サイレンスがいっぱい,1450
2023-03-14 22:18,岡部啓一,Weight of the World - English Version - J'Nique Nicole,900
2023-03-14 22:18,1986 OMEGA TRIBE,Older Girl,650
2023-03-14 22:18,Lizz Robinett,"Lost in Thoughts All Alone (From ""Fire Emblem Fates"")",730
2023-03-14 22:18,SQUARE ENIX MUSIC,Ashes of Dreams / New - English Version,860
2023-03-14 22:18,ShibayanRecords,タイニーリトル・アジアンタム,870
2023-03-14 22:18,Marcell,Jangan Pernah Berubah,900
2023-03-14 22:18,Deko,Midnight Tokyo,1190
2023-03-14 22:18,Elton John,Goodbye Yellow Brick Road - Remastered 2014,790
2023-03-14 22:18,Lily Chou-Chou,回復する傷,640
2023-03-14 22:19,1986 OMEGA TRIBE,Older Girl,550
2023-03-14 22:19,Deko,Midnight Tokyo,109510
2023-03-14 22:20,Buckethead,Soothsayer (Dedicated to Aunt Suzie),970
2023-03-14 22:20,GALNERYUS,TIME WILL TELL,2050
2023-03-14 22:20,GALNERYUS,TIME WILL TELL,1060
2023-03-14 22:20,GALNERYUS,TIME WILL TELL,1020
2023-03-14 22:20,GALNERYUS,TIME WILL TELL,640
2023-03-14 22:20,Sewerslvt,Mr. Kill Myself,1030
2023-03-14 22:20,DJ 3D,Junglist Massive,1420
2023-03-14 22:20,Cesium 137,Transient,980
2023-03-14 22:20,Imperial Circus Dead Decadence,悲痛なる跫音は哀しき邂逅 mode:α feat. Yuto Iizuka,710
2023-03-14 22:20,Engelbert Humperdinck,All This World And The Seven Seas,1400
2023-03-14 22:20,HEIZE,We don't talk together (Prod. by SUGA),1090
2023-03-14 22:20,Guthrie Govan,Hollywood Woman,2130
2023-03-14 22:20,Tomoko Aran,Body to Body,1020
2023-03-14 22:20,Tomoko Aran,Body to Body,540
2023-03-14 22:20,TOKYOPILL,Speed Star,600
2023-03-14 22:20,YOASOBI,ラブレター,9220
2023-03-14 22:20,Luna Li,Gimme Love - ASIA RISING FOREVER,980
2023-03-14 22:20,Luna Li,Gimme Love - ASIA RISING FOREVER,690
2023-03-14 22:20,Laica,Close to Me,1210
2023-03-14 22:20,Masayoshi Takanaka,BLUE CURACAO,1250
2023-03-14 22:24,Laica,Close to Me,211746
2023-03-14 22:25,TOKYOPILL,Speed Star,68413
2023-03-14 22:29,Ariabl'eyeS,Kegarenaki Barajuuji,265790
2023-03-14 22:29,Ariabl'eyeS,Meimei Memoria,12000
2023-03-14 22:30,Sanna Aalto,Movement,1570
2023-03-14 22:30,frxzen,Already Rich,450
2023-03-14 22:30,TWICE,CRY FOR ME,1550
2023-03-14 22:30,Ariabl'eyeS,Romanesque Romancia,22860
2023-03-14 22:30,Yeat,No morë talk,7210
2023-03-14 22:30,Besomage,I Will Survive,7360
2023-03-14 22:31,Ariabl'eyeS,Kegarenaki Barajuuji,10930
2023-03-14 22:31,Ariabl'eyeS,Symmetric Rose,12390
2023-03-14 22:31,Nightwish,Élan,56350
2023-03-14 22:32,ANIZYZ,Stay With Me,5880
2023-03-14 22:32,GALNERYUS,WITH PRIDE,19790
2023-03-14 22:33,SICK LEGEND,SUMMER TIME SADNESS HARDSTYLE,88357
2023-03-14 22:34,Brenton Kossak,Pick of the Litter,10322
2023-03-14 22:34,Japanese Breakfast,"Kokomo, IN",2860
2023-03-14 22:34,SICK LEGEND,AOT HARDSTYLE,17830
2023-03-14 22:34,Alucard,Breathe X Obito Hardstyle,1460
2023-03-14 22:35,DOLL$BOXX,Sub-Liminal,8071
2023-03-14 22:35,zeinxd,Berserk,78528
2023-03-14 22:39,Arkadiusz Reikowski,My Brother Rabbit: Dreams (Original Game Soundtrack),6090
2023-03-14 22:39,Luna Li,mirror,6823
2023-03-14 22:39,Aimer,closer,5360
2023-03-14 22:39,Breakfast Club,Kiss And Tell,2250
2023-03-14 22:39,Varien,Can You Feel My Heart,12140
2023-03-14 22:39,slchld,"she likes spring, I prefer winter",207436
2023-03-14 22:40,Castle Carousel,Internet Moms,10180
2023-03-14 22:42,ThxSoMch,SPIT IN MY FACE!,142900
2023-03-14 22:44,'Til Tuesday,Winning the War,630
2023-03-14 22:44,Frou Frou,A New Kind Of Love - Demo,640
2023-03-14 22:44,Beast In Black,One Night in Tokyo,1590
2023-03-14 22:44,Elvis Presley,Blue Christmas,370
2023-03-14 22:44,Polyphia,Chimera (feat. Lil West),410
2023-03-14 22:44,HammerFall,Hearts on Fire,480
2023-03-14 22:44,IRONBUNNY,23 -twenty three-,930
2023-03-14 22:44,Sugar&Co.,FM17314 Sugar Radio,500
2023-03-14 22:44,Animals As Leaders,The Brain Dance,1920
2023-03-14 22:44,PUBLIC,Splash,400
2023-03-14 22:44,Martin Arteta,Past Lives,650
2023-03-14 22:44,Cocteau Twins,In Our Angelhood,1630
2023-03-14 22:44,Cocteau Twins,In Our Angelhood,5370
2023-03-14 22:44,Masego,Sunday Vibes,560
2023-03-14 22:44,Masego,Sunday Vibes,300
2023-03-14 22:44,Jason Becker,Magic Woman,500
2023-03-14 22:44,Æther Realm,Redneck Vikings from Hell,430
2023-03-14 22:44,Seals and Crofts,Summer Breeze,770
2023-03-14 22:44,Platina Jazz,"Come, Sweet Death (From ""Neon Genesis Evangelion"") (feat. Niklas Gabrielsson)",700
2023-03-14 22:44,bôa,Elephant,160
2023-03-14 22:44,Laufey,I Wish You Love,1420
2023-03-14 22:44,Them Crooked Vultures,New Fang,550
2023-03-14 22:44,Masayuki Suzuki,ラブ・ドラマティック (Funky Flag Version),660
2023-03-14 22:44,Stratovarius,Stratosphere,480
2023-03-14 22:44,HAARPER,SKINWALKER,510
2023-03-14 22:44,Joe Hisaishi,Merry-Go-Round of Life - from 'Howl's Moving Castle',620
2023-03-14 22:44,Polyphia,Reverie,550
2023-03-14 22:44,Michiko Mada,Soko Kara Miteta,600
2023-03-14 22:44,Strawberry Milk Cult,Polarbear!,102160
2023-03-14 22:44,HAARPER,The Alchemist,1520
2023-03-14 22:44,Xanthochroid,The Sound of Hunger Rises,580
2023-03-14 22:44,Purity Ring,soshy,470
